Id,Category
1,1
2,1
3,0
4,1
5,1
6,0
7,0
8,1
9,0
10,1
11,0
12,0
13,1
14,0
15,0
16,1
17,0
18,1
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,1
41,0
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,1
50,1
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,0
59,1
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,1
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,1
100,0
101,1
102,1
103,0
104,0
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,0
116,0
117,0
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,0
126,0
127,1
128,1
129,1
130,0
131,0
132,1
133,1
134,0
135,1
136,0
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,0
145,1
146,1
147,1
148,0
149,0
150,0
151,1
152,1
153,0
154,0
155,0
156,1
157,0
158,1
159,1
160,1
161,0
162,0
163,1
164,0
165,0
166,1
167,1
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,0
176,0
177,1
178,1
179,0
180,1
181,0
182,0
183,1
184,0
185,0
186,0
187,1
188,1
189,0
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,1
203,0
204,0
205,0
206,1
207,0
208,1
209,1
210,1
211,1
212,0
213,1
214,1
215,0
216,1
217,1
218,1
219,0
220,1
221,0
222,1
223,1
224,0
225,0
226,1
227,1
228,1
229,1
230,0
231,0
232,1
233,1
234,0
235,0
236,0
237,0
238,1
239,0
240,1
241,1
242,1
243,0
244,1
245,0
246,0
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,0
260,1
261,1
262,0
263,0
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,0
273,0
274,1
275,1
276,1
277,1
278,0
279,1
280,0
281,1
282,0
283,1
284,1
285,0
286,0
287,0
288,1
289,1
290,1
291,0
292,1
293,0
294,0
295,0
296,1
297,1
298,0
299,0
300,1
301,1
302,0
303,0
304,1
305,0
306,0
307,0
308,1
309,0
310,1
311,1
312,1
313,0
314,1
315,0
316,1
317,1
318,0
319,0
320,1
321,1
322,0
323,1
324,0
325,1
326,0
327,1
328,0
329,1
330,1
331,1
332,1
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,1
342,0
343,1
344,0
345,1
346,1
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,0
361,1
362,1
363,0
364,1
365,0
366,0
367,1
368,1
369,1
370,0
371,1
372,1
373,1
374,0
375,0
376,1
377,0
378,0
379,1
380,1
381,1
382,1
383,0
384,1
385,0
386,0
387,1
388,0
389,0
390,1
391,0
392,1
393,0
394,0
395,1
396,1
397,1
398,1
399,0
400,1
401,1
402,0
403,0
404,0
405,0
406,1
407,1
408,0
409,1
410,1
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,0
419,1
420,1
421,1
422,0
423,1
424,0
425,0
426,1
427,1
428,1
429,1
430,0
431,1
432,1
433,0
434,1
435,0
436,0
437,0
438,0
439,0
440,1
441,1
442,1
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,0
470,1
471,1
472,0
473,1
474,0
475,0
476,0
477,1
478,1
479,0
480,1
481,0
482,1
483,1
484,0
485,1
486,1
487,1
488,0
489,0
490,1
491,0
492,1
493,0
494,1
495,1
496,0
497,0
498,0
499,1
500,1
501,1
502,0
503,0
504,1
505,1
506,0
507,1
508,0
509,1
510,1
511,1
512,1
513,0
514,0
515,1
516,0
517,1
518,1
519,0
520,1
521,0
522,1
523,1
524,1
525,1
526,1
527,1
528,0
529,1
530,1
531,0
532,1
533,0
534,1
535,0
536,1
537,0
538,1
539,1
540,1
541,0
542,1
543,1
544,0
545,0
546,1
547,0
548,0
549,1
550,0
551,1
552,1
553,1
554,1
555,1
556,0
557,1
558,0
559,1
560,0
561,1
562,1
563,1
564,0
565,1
566,0
567,0
568,0
569,1
570,1
571,0
572,1
573,0
574,1
575,1
576,0
577,1
578,0
579,1
580,0
581,0
582,1
583,0
584,0
585,1
586,1
587,0
588,1
589,0
590,0
591,0
592,0
593,0
594,1
595,0
596,0
597,0
598,1
599,0
600,1
601,0
